Date,Price,Volume
2024-09-27,37.7,11745974
2024-09-26,37.75,14809370
2024-09-25,37.7,21050457
2024-09-24,37.6,18610657
2024-09-23,37.5,8935501
2024-09-20,37.9,14372672
2024-09-19,37.0,12059074
2024-09-18,36.7,16922976
2024-09-17,36.7,12831868
2024-09-13,38.0,28620582
2024-09-12,37.0,19274929
2024-09-11,37.0,18988612
2024-09-10,37.0,14882895
2024-09-09,37.0,173485170
2024-09-06,37.5,34618326
2024-09-05,37.0,56564439
2024-09-04,37.4,10894394
2024-09-03,38.3,7876579
2024-09-02,39.0,39982607
2024-08-29,38.35,13497842
2024-08-28,38.4,9240822
2024-08-27,38.0,11549707
2024-08-26,37.95,13301106
2024-08-23,37.9,8046126
2024-08-22,37.9,3735356
2024-08-21,38.0,7825196
2024-08-20,38.0,11661012
2024-08-19,38.0,14124210
2024-08-16,38.0,16710068
2024-08-15,37.85,9953454
2024-08-14,37.0,7425548
2024-08-13,37.0,4632865
2024-08-12,38.55,27098716
2024-08-09,38.85,31953888
2024-08-08,38.0,28125253
2024-08-07,37.0,35923303
2024-08-06,36.5,21884468
2024-08-05,36.0,36992856
2024-08-02,36.0,13758325
2024-08-01,35.0,19242126
2024-07-31,33.1,83889926
2024-07-30,33.85,44237163
2024-07-29,34.55,15353556
2024-07-26,35.85,16586404
2024-07-25,35.95,40593038
2024-07-24,36.9,60060941
2024-07-23,36.9,10130406
2024-07-22,37.5,10175381
2024-07-19,37.0,29886209
2024-07-18,37.2,17870543
2024-07-17,40.0,77751947
2024-07-16,40.0,57420560
2024-07-15,39.0,15701888
2024-07-12,37.05,4966661
2024-07-11,37.1,11856312
2024-07-10,37.05,36347218
2024-07-09,37.5,17539386
2024-07-08,37.65,12356665
2024-07-05,37.5,16431411
2024-07-04,37.45,24015965
2024-07-03,35.85,6835488
2024-07-02,35.7,9064664
2024-07-01,34.8,6810057
2024-06-28,35.7,7636544
2024-06-27,35.5,5282228
2024-06-26,35.7,6767712
2024-06-25,35.2,6593220
2024-06-24,35.85,12562214
2024-06-21,35.9,15752007
2024-06-20,35.95,12517560
2024-06-19,36.0,15268980
2024-06-14,36.0,28033338
2024-06-13,36.0,71220970
2024-06-11,35.0,74277519
2024-06-10,34.8,16079102
2024-06-07,33.25,43241262
2024-06-06,33.0,6735063
2024-06-05,32.9,6046477
2024-06-04,32.0,6122601
2024-06-03,33.0,7113118
2024-05-31,33.0,111130090
2024-05-30,33.0,39227332
2024-05-29,32.5,13658169
2024-05-28,31.4,13830927
2024-05-27,30.75,8818459
2024-05-24,30.0,24485336
2024-05-23,30.85,28942504
2024-05-22,31.0,35357512
2024-05-21,32.5,7698224
2024-05-20,31.8,15263475
2024-05-17,32.8,4857392
2024-05-16,32.5,10656311
2024-05-15,33.3,7307987
2024-05-14,34.4,15586140
2024-05-13,34.7,30450014
2024-05-10,34.0,35097764
2024-05-09,34.0,33948856
2024-05-08,33.8,11337471
2024-05-07,34.7,20724648
2024-05-06,34.8,26903826
2024-05-03,34.6,18978352
2024-05-02,32.75,15853932
2024-04-30,32.1,11882158
2024-04-29,31.3,18716472
2024-04-26,32.6,23935981
2024-04-25,36.4,48489386
2024-04-24,36.6,46155986
2024-04-23,36.0,21246812
2024-04-22,37.9,15165575
2024-04-19,35.5,24408133
2024-04-18,36.0,22007605
2024-04-17,35.4,47029903
2024-04-16,35.4,41360212
2024-04-15,38.65,14309762
2024-04-12,40.0,135810416
2024-04-08,41.55,16097304
2024-04-05,42.5,86218968
2024-04-04,43.2,161683671
2024-04-03,44.0,41877198
2024-04-02,44.55,62585245
2024-03-28,44.5,88355043
2024-03-27,44.0,53203397
2024-03-26,40.45,42438986
2024-03-25,39.5,8341322
2024-03-22,39.95,47658101
2024-03-21,39.45,21772131
2024-03-20,38.0,11138134
2024-03-19,38.1,7235570
2024-03-18,39.0,21488209
2024-03-15,39.7,10441791
2024-03-14,38.5,13290006
2024-03-13,39.0,13760323
2024-03-12,38.2,15482906
2024-03-11,36.2,14482965
2024-03-08,34.0,17933932
2024-03-07,33.95,17080193
2024-03-06,34.0,16635920
2024-03-05,35.5,13354580
2024-03-04,35.45,8037975
2024-02-29,35.0,22762462
2024-02-28,32.45,30925192
2024-02-27,34.5,24957322
2024-02-26,35.3,20624519
2024-02-23,35.3,20719703
2024-02-22,35.75,12539329
2024-02-21,35.5,15868142
2024-02-20,35.65,21009508
2024-02-19,35.7,15838526
2024-02-16,35.8,10698734
2024-02-15,35.75,6930704
2024-02-14,36.5,17871919
2024-02-13,35.5,16018107
2024-02-12,36.9,8573077
2024-02-09,36.85,11918266
2024-02-08,36.0,31746179
2024-02-07,36.8,11939995
2024-02-06,37.5,14319534
2024-02-05,38.7,16848504
2024-02-02,39.5,31581848
2024-02-01,38.6,74316882
2024-01-31,35.1,61175892
2024-01-30,39.0,27660203
2024-01-29,42.0,34541161
2024-01-26,43.0,14704687
2024-01-25,42.85,14950158
2024-01-24,42.25,14471311
2024-01-23,42.05,32026858
2024-01-22,44.0,25759077
2024-01-19,45.0,34762788
2024-01-18,44.3,36289934
2024-01-17,45.2,24377538
2024-01-16,45.85,21026984
2024-01-15,44.55,25020294
2024-01-12,43.0,26983605
2024-01-11,43.5,45620327
2024-01-10,42.65,55503003
2024-01-09,47.35,45563253
2024-01-08,43.05,15609369
2024-01-05,42.0,20096388
2024-01-04,41.0,29296158
2024-01-03,40.65,20812774
2024-01-02,39.0,11028077
2023-12-29,38.65,28878622
2023-12-28,38.2,27936475
2023-12-27,38.0,15458772
2023-12-22,37.9,26295298
2023-12-21,38.65,14396313
2023-12-20,38.5,24038384
2023-12-19,37.75,21963415
2023-12-18,37.1,17152925
2023-12-15,37.1,24703447
2023-12-14,37.1,37289741
2023-12-13,36.4,44781598
2023-12-12,35.5,22992025
2023-12-11,35.5,12686302
2023-12-08,35.0,18992138
2023-12-07,35.25,31620189
2023-12-06,36.1,38615087
2023-12-05,34.9,15474280
2023-12-04,34.85,16162502
2023-12-01,35.0,8850778
2023-11-30,34.05,15957319
2023-11-29,35.0,9419689
2023-11-28,35.15,10193794
2023-11-27,35.3,12914657
2023-11-24,34.7,22579369
2023-11-23,33.5,20713637
2023-11-22,33.4,14365042
2023-11-21,33.2,8780658
2023-11-20,33.15,15166036
2023-11-17,33.4,7383360
2023-11-16,33.5,10426334
2023-11-15,33.75,10423384
2023-11-14,34.4,3854620
2023-11-13,33.5,4368761
2023-11-10,33.05,10076671
2023-11-09,33.05,20531316
2023-11-08,33.2,5119290
2023-11-07,33.3,13093650
2023-11-06,33.6,9340253
2023-11-03,34.0,8163498
2023-11-02,34.0,13682844
2023-11-01,34.4,14071120
2023-10-31,33.15,29899416
2023-10-30,33.5,24421384
2023-10-27,33.3,6515500
2023-10-26,33.1,6879263
2023-10-25,33.35,16649368
2023-10-24,33.55,9373898
2023-10-23,33.25,16164012
2023-10-20,33.05,18022988
2023-10-19,33.15,4341108
2023-10-18,33.4,8279736
2023-10-17,33.0,15443287
2023-10-16,32.15,7703372
2023-10-13,32.0,12986474
2023-10-12,32.0,20481848
2023-10-11,31.6,32273450
2023-10-10,31.8,11266888
2023-10-09,31.95,7759039
2023-10-06,32.0,7830258
2023-10-05,31.9,6067315
2023-10-04,31.9,12036233
2023-10-03,31.5,17809967
2023-09-29,31.45,10927608
2023-09-28,31.3,21116930
2023-09-26,31.05,21575655
2023-09-25,32.0,9695022
2023-09-22,33.0,13942397
2023-09-21,33.0,9837700
2023-09-20,33.0,9719057
2023-09-19,33.0,14041841
2023-09-18,33.15,11903566
2023-09-15,33.25,9739212
2023-09-14,33.0,15834262
2023-09-13,33.85,29801688
2023-09-12,33.6,38323497
2023-09-11,34.8,43128984
2023-09-08,36.95,8812871
2023-09-06,37.0,10008188
2023-09-05,37.0,34359310
2023-09-04,37.1,75411494
2023-09-01,34.4,19740554
2023-08-31,32.9,8940693
2023-08-30,32.9,11235890
2023-08-29,33.5,14660688
2023-08-28,32.75,4616683
2023-08-25,32.75,12318137
2023-08-24,33.0,7288933
2023-08-23,33.4,7961127
2023-08-22,33.8,6550489
2023-08-21,33.95,6232294
2023-08-18,34.0,8835736
2023-08-17,34.0,7279380
2023-08-16,34.45,10751175
2023-08-15,34.4,11302105
2023-08-14,34.1,10725315
2023-08-11,35.0,18352845
2023-08-10,35.0,12486195
2023-08-09,35.0,6119522
2023-08-08,35.0,6999375
2023-08-07,34.2,5797466
2023-08-04,34.1,23863486
2023-08-03,33.6,12091023
2023-08-02,33.5,12074294
2023-08-01,33.5,24304434
2023-07-31,33.9,7622356
2023-07-28,34.0,12844389
2023-07-27,35.0,16434229
2023-07-26,35.3,26476378
2023-07-25,35.0,36306545
2023-07-24,34.7,13335231
2023-07-21,35.15,73351105
2023-07-20,32.3,13729914
2023-07-19,32.25,10013485
2023-07-18,32.8,8617782
2023-07-17,33.95,13883090
2023-07-14,32.5,36420537
2023-07-13,33.65,14255079
2023-07-12,34.35,40281178
2023-07-11,34.1,11641614
2023-07-10,34.8,47879295
2023-07-07,34.8,53049610
2023-07-06,34.55,13660213
2023-07-05,34.1,11860579
2023-07-04,33.9,52708886
2023-07-03,35.25,49970853
2023-06-30,34.25,74398931
2023-06-27,34.0,52436609
2023-06-26,32.5,28574335
2023-06-23,32.0,36441881
2023-06-22,31.8,20315178
2023-06-21,31.75,14860361
2023-06-20,32.0,18708603
2023-06-19,32.0,28270549
2023-06-16,31.0,39093893
2023-06-15,32.05,62669456
2023-06-14,33.8,119143503
2023-06-13,30.8,85699690
2023-06-09,28.0,21049940
2023-06-08,28.0,30823901
2023-06-07,27.95,8136853
2023-06-06,28.0,15877042
2023-06-05,27.95,28745497
2023-06-02,28.6,21919010
2023-06-01,29.5,37155517
2023-05-31,29.0,44535182
2023-05-30,29.7,66129791
2023-05-26,27.0,50013174
2023-05-25,26.75,39403247
2023-05-24,26.75,37547796
2023-05-23,27.0,58999343
2023-05-22,26.45,53434420
2023-05-19,26.0,57845859
2023-05-18,25.0,29058428
2023-05-17,25.15,31697181
2023-05-16,24.5,57386003
2023-05-15,24.15,18786501
2023-05-12,24.0,10412639
2023-05-11,23.9,16793683
2023-05-10,24.4,24481422
2023-05-09,24.5,42751024
2023-05-08,24.4,8666594
2023-05-05,24.05,33157778
2023-05-04,24.0,24904391
2023-05-03,24.0,15267928
2023-05-02,23.5,12142712
2023-04-28,22.8,15278965
2023-04-27,22.8,16870996
2023-04-26,22.55,13065284
2023-04-25,22.05,27553279
2023-04-20,21.95,18114437
2023-04-19,21.85,16484813
2023-04-18,21.8,12159667
2023-04-17,22.0,13368618
2023-04-14,25.0,18168543
2023-04-13,25.05,20614314
2023-04-12,25.5,11384956
2023-04-11,25.5,44457462
2023-04-06,25.5,19107453
2023-04-05,25.5,15857962
2023-04-04,25.15,14731582
