company,country,exchange,currency,sector,industry,isin,ticker,notes
EXXARO RESOURCES,SOUTH AFRICA,,,,,,,
FAWRY EGYPT,EGYPT,,,,,,,
FCMB GROUP NIGERIA,NIGERIA,,,,,,,
FDH BANK MALAWI,MALAWI,,,,,,,
FIDELITY BANK NIGERIA,NIGERIA,,,,,,,
FILTISCA IVORY COAST,IVORY COAST,,,,,,,
FIRST CAPITAL BANK,ZIMBABWE,,,,,,,
FIRST HOLDCO NIGERIA,NIGERIA,,,,,,,
FIRST NATIONAL BANK BOTSWANA,BOTSWANA,,,,,,,
FIRSTRAND,SOUTH AFRICA,,,,,,,
FMB CAPITAL HOLDINGS MALAWI,MALAWI,,,,,,,
FOSCHINI,SOUTH AFRICA,,,,,,,
GB AUTO EGYPT,EGYPT,,,,,,,
GCB BANK PLC GHANA,GHANA,,,,,,,
GEREGU POWER NIGERIA,NIGERIA,,,,,,,
GLENCORE,SOUTH AFRICA,,,,,,,
GOLD FIELDS,SOUTH AFRICA,,,,,,,
GRINDROD,SOUTH AFRICA,,,,,,,
GUARANTY TRUST HOLDING COMPANY NIGERIA,NIGERIA,,,,,,,
GUINNESS NIGERIA,NIGERIA,,,,,,,
HARMONY GOLD MINING COMPANY,SOUTH AFRICA,,,,,,,
HIPPO VALLEY ESTATES,ZIMBABWE,,,,,,,
HONEYWELL FLOUR MILLS NIGERIA,NIGERIA,,,,,,,
I&M BANK RWANDA,RWANDA,,,,,,,
I&M GROUP KENYA,KENYA,,,,,,,
IMPALA PLATINUM HOLDINGS,SOUTH AFRICA,,,,,,,
INNSCOR AFRICA,ZIMBABWE,,,,,,,
INTERNATIONAL BREWERIES NIGERIA,NIGERIA,,,,,,,
INVESTEC,SOUTH AFRICA,,,,,,,
JAIZ BANK NIGERIA,NIGERIA,,,,,,,
JUBILEE HOLDINGS KENYA,KENYA,,,,,,,
JUBILEE HOLDINGS UG,UGANDA,,,,,,,
JULIUS BERGER NIGERIA,NIGERIA,,,,,,,
KCB GROUP KENYA,KENYA,,,,,,,
KENYA AIRWAYS,KENYA,,,,,,,
KENYA ELECTRICITY GENERATING CO,KENYA,,,,,,,
KENYA POWER,KENYA,,,,,,,
KUMBA IRON ORE,SOUTH AFRICA,,,,,,,
LAFARGE AFRICA NIGERIA,NIGERIA,,,,,,,
LAFARGEHOLCIM MAROC MOROCCO,MOROCCO,,,,,,,
LETSHEGO HOLDINGS BOTSWANA,BOTSWANA,,,,,,,
LIFE HEALTHCARE,SOUTH AFRICA,,,,,,,
LOTERIE NATIONALE DU BENIN,BENIN,,,,,,,
MADISON FINANCIAL SERVICES,ZAMBIA,,,,,,,
MANAGEM MOROCCO,MOROCCO,,,,,,,
MAROC TELECOM MOROCCO,MOROCCO,,,,,,,
MARSA MAROC MOROCCO,MOROCCO,,,,,,,
MONDI,SOUTH AFRICA,,,,,,,
MR PRICE,SOUTH AFRICA,,,,,,,
MTN GHANA,GHANA,,,,,,,
MTN GROUP,SOUTH AFRICA,,,,,,,
MTN NIGERIA,NIGERIA,,,,,,,
MTN RWANDACELL,RWANDA,,,,,,,
MTN UGANDA,UGANDA,,,,,,,
NASCON ALLIED INDUSTRIES NIGERIA,NIGERIA,,,,,,,
NASPERS,SOUTH AFRICA,,,,,,,
NATIONAL BANK OF MALAWI,MALAWI,,,,,,,
NATIONAL INVESTMENT COMPANY TANZANIA,TANZANIA,,,,,,,
NBS BANK MALAWI,MALAWI,,,,,,,
NCBA GROUP KENYA,KENYA,,,,,,,
NEI-CEDA IVORY COAST,IVORY COAST,,,,,,,
NESTLE IVORY COAST,IVORY COAST,,,,,,,
NESTLÉ NIGERIA,NIGERIA,,,,,,,
NICO HOLDINGS MALAWI,MALAWI,,,,,,,
NIGERIAN BREWERIES,NIGERIA,,,,,,,
NINETY ONE,SOUTH AFRICA,,,,,,,
NMB BANK TANZANIA,TANZANIA,,,,,,,
NORTHAM PLATINUM HOLDINGS,SOUTH AFRICA,,,,,,,
NSIA BANK IVORY COAST,IVORY COAST,,,,,,,
OANDO PLC NIGERIA,NIGERIA,,,,,,,
OKOMU OIL PALM NIGERIA,NIGERIA,,,,,,,
