company,rows,file
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/ORASCOM INVESTMENT HOLDING EGYPT.csv
ATTIJARIWAFA BANK MOROCCO (MOROCCO),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/ATTIJARIWAFA BANK MOROCCO.csv
CADBURY NIGERIA (NIGERIA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/CADBURY NIGERIA.csv
HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/HONEYWELL FLOUR MILLS NIGERIA.csv
EGYPT ALUMINIUM (EGYPT),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/EGYPT ALUMINIUM.csv
TELECOM EGYPT (EGYPT),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/TELECOM EGYPT.csv
BANK OF KIGALI RWANDA (RWANDA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/rwanda/BANK OF KIGALI RWANDA.csv
RAYA HOLDING EGYPT (EGYPT),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/RAYA HOLDING EGYPT.csv
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),15,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/ALEXANDRIA MINERAL OILS EGYPT.csv
EAST AFRICAN BREWERIES KENYA (KENYA),16,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/EAST AFRICAN BREWERIES KENYA.csv
DIS-CHEM PHARMACIES (SOUTH AFRICA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/DIS-CHEM PHARMACIES.csv
GB AUTO EGYPT (EGYPT),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/GB AUTO EGYPT.csv
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/ABU DHABI ISLAMIC BANK EGYPT.csv
QUILTER (SOUTH AFRICA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/QUILTER.csv
ETERNA PLC NIGERIA (NIGERIA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/ETERNA PLC NIGERIA.csv
SANTAM (SOUTH AFRICA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/SANTAM.csv
AIICO INSURANCE NIGERIA (NIGERIA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/AIICO INSURANCE NIGERIA.csv
BANK OF AFRICA SENEGAL (SENEGAL),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/senegal/BANK OF AFRICA SENEGAL.csv
AXA MANSARD NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/AXA MANSARD NIGERIA.csv
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/WILSON BAYLY HOLMES OVCON.csv
MARSA MAROC MOROCCO (MOROCCO),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/MARSA MAROC MOROCCO.csv
CO-OPERATIVE BANK KENYA (KENYA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/CO-OPERATIVE BANK KENYA.csv
MAROC TELECOM MOROCCO (MOROCCO),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/MAROC TELECOM MOROCCO.csv
RAUBEX (SOUTH AFRICA),13,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/RAUBEX.csv
INNSCOR AFRICA (ZIMBABWE),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/zimbabwe/INNSCOR AFRICA.csv
ORAGROUP TOGO (TOGO),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/togo/ORAGROUP TOGO.csv
PSG KONSULT (SOUTH AFRICA),11,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/PSG KONSULT.csv
NINETY ONE (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/NINETY ONE.csv
BANK OF AFRICA NIGER (NIGER),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/niger/BANK OF AFRICA NIGER.csv
CAP PLC NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/CAP PLC NIGERIA.csv
NCBA GROUP KENYA (KENYA),17,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/NCBA GROUP KENYA.csv
STANBIC HOLDINGS KENYA (KENYA),17,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/STANBIC HOLDINGS KENYA.csv
MCB GROUP LTD MAURITIUS (MAURITIUS),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/MCB GROUP LTD MAURITIUS.csv
KENYA ELECTRICITY GENERATING CO (KENYA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/KENYA ELECTRICITY GENERATING CO.csv
ABSA BANK KENYA (KENYA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/ABSA BANK KENYA.csv
CORONATION (NAMIBIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/namibia/CORONATION.csv
STANDARD CHARTERED BANK KENYA (KENYA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/STANDARD CHARTERED BANK KENYA.csv
DIAMOND TRUST BANK KENYA (KENYA),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/DIAMOND TRUST BANK KENYA.csv
KENYA POWER (KENYA),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/KENYA POWER.csv
BRITISH AMERICAN TOBACCO KENYA (KENYA),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/BRITISH AMERICAN TOBACCO KENYA.csv
UPDC PLC NIGERIA (NIGERIA),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/UPDC PLC NIGERIA.csv
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/LAFARGEHOLCIM MAROC MOROCCO.csv
