HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM300,NIGERIAN BREWERIES (NIGERIA),NIGERIAN BREWERIES NIGERIA (NIGERIA),
AM100,NINETY ONE (SOUTH AFRICA),NINETY ONE SOUTH AFRICA (SOUTH AFRICA),
AM200,NINETY ONE (SOUTH AFRICA),NINETY ONE SOUTH AFRICA (SOUTH AFRICA),
AM300,NINETY ONE (SOUTH AFRICA),NINETY ONE SOUTH AFRICA (SOUTH AFRICA),
AM100,NMB BANK TANZANIA (TANZANIA),NMB BANK TANZANIA TANZANIA (TANZANIA),
AM200,NMB BANK TANZANIA (TANZANIA),NMB BANK TANZANIA TANZANIA (TANZANIA),
AM300,NMB BANK TANZANIA (TANZANIA),NMB BANK TANZANIA TANZANIA (TANZANIA),
AM100,NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),NORTHAM PLATINUM HOLDINGS SOUTH AFRICA (SOUTH AFRICA),
AM300,NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),NORTHAM PLATINUM HOLDINGS SOUTH AFRICA (SOUTH AFRICA),
AM100,OANDO PLC NIGERIA (NIGERIA),OANDO PLC NIGERIA NIGERIA (NIGERIA),
AM200,OANDO PLC NIGERIA (NIGERIA),OANDO PLC NIGERIA NIGERIA (NIGERIA),
AM300,OANDO PLC NIGERIA (NIGERIA),OANDO PLC NIGERIA NIGERIA (NIGERIA),
AM100,OKOMU OIL PALM NIGERIA (NIGERIA),OKOMU OIL PALM NIGERIA NIGERIA (NIGERIA),
AM200,OKOMU OIL PALM NIGERIA (NIGERIA),OKOMU OIL PALM NIGERIA NIGERIA (NIGERIA),
AM300,OKOMU OIL PALM NIGERIA (NIGERIA),OKOMU OIL PALM NIGERIA NIGERIA (NIGERIA),
AM100,OLD MUTUAL (SOUTH AFRICA),OLD MUTUAL SOUTH AFRICA (SOUTH AFRICA),
AM300,OLD MUTUAL (SOUTH AFRICA),OLD MUTUAL SOUTH AFRICA (SOUTH AFRICA),
AM200,ONE TECH HOLDING TUNISIA (TUNISIA),ONE TECH HOLDING TUNISIA TUNISIA (TUNISIA),
AM300,ONE TECH HOLDING TUNISIA (TUNISIA),ONE TECH HOLDING TUNISIA TUNISIA (TUNISIA),
AM100,ORAGROUP TOGO (TOGO),ORAGROUP TOGO TOGO (TOGO),
AM200,ORAGROUP TOGO (TOGO),ORAGROUP TOGO TOGO (TOGO),
AM300,ORAGROUP TOGO (TOGO),ORAGROUP TOGO TOGO (TOGO),
AM100,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),ORASCOM INVESTMENT HOLDING EGYPT EGYPT (EGYPT),
AM200,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),ORASCOM INVESTMENT HOLDING EGYPT EGYPT (EGYPT),
AM300,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),ORASCOM INVESTMENT HOLDING EGYPT EGYPT (EGYPT),
AM100,OUTSURANCE (SOUTH AFRICA),OUTSURANCE SOUTH AFRICA (SOUTH AFRICA),
AM300,OUTSURANCE (SOUTH AFRICA),OUTSURANCE SOUTH AFRICA (SOUTH AFRICA),
AM200,PADENGA HOLDINGS (ZIMBABWE),PADENGA HOLDINGS ZIMBABWE (ZIMBABWE),
AM300,PADENGA HOLDINGS (ZIMBABWE),PADENGA HOLDINGS ZIMBABWE (ZIMBABWE),
AM100,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),PALM HILLS DEVELOPMANT COMPANY EGYPT EGYPT (EGYPT),
AM200,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),PALM HILLS DEVELOPMANT COMPANY EGYPT EGYPT (EGYPT),
AM300,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),PALM HILLS DEVELOPMANT COMPANY EGYPT EGYPT (EGYPT),
AM200,POULINA GROUP HOLDING TUNISIA (TUNISIA),POULINA GROUP HOLDING TUNISIA TUNISIA (TUNISIA),
