Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
GLENCORE (SOUTH AFRICA),OK,3662479.8935660124,2.012464594462436,86,3662479.8935660124,3662479.8935660124,732495.9787132025,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,3662479.8935660124,47.0,True,2020-07-31
ATTIJARIWAFA BANK MOROCCO (MOROCCO),OK,3305453.5519887386,36.71049239494715,87,3305453.5519887386,3305453.5519887386,661090.7103977478,30,,,,,2020-07-31,2020-06-30,2020-07-31,MOROCCO,MID,3305453.5519887386,48.0,True,2020-07-31
LIFE HEALTHCARE (SOUTH AFRICA),OK,3297396.959141368,0.6314179744803344,86,3297396.959141368,3297396.959141368,659479.3918282737,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,3297396.959141368,49.0,True,2020-07-31
EL SEWEDY ELECTRIC (EGYPT),OK,2704968.6793534253,0.4112469528647723,82,2704968.6793534253,2704968.6793534253,540993.7358706851,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,2704968.6793534253,50.0,True,2020-07-31
SAFARICOM KENYA (KENYA),OK,2460714.823877411,0.271461057418988,85,2460714.823877411,2460714.823877411,492142.9647754822,30,,,,,2020-07-31,2020-06-30,2020-07-31,KENYA,MID,2460714.823877411,51.0,True,2020-07-31
HULAMIN LIMITED (SOUTH AFRICA),OK,2340460.694099513,6.45833909970753,85,2340460.694099513,2340460.694099513,468092.1388199026,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,2340460.694099513,52.0,True,2020-07-31
CORONATION (NAMIBIA),OK,2016552.9703553682,2.304147465437788,86,2016552.9703553682,2016552.9703553682,403310.5940710737,30,,,,,2020-07-31,2020-06-30,2020-07-31,NAMIBIA,LOW,2016552.9703553682,53.0,True,2020-07-31
EFG HOLDING EGYPT (EGYPT),OK,1930617.2830229013,0.8677744902832828,82,1930617.2830229013,1930617.2830229013,386123.4566045803,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,1930617.2830229013,54.0,True,2020-07-31
OUTSURANCE (SOUTH AFRICA),OK,1903123.444039431,0.9093572107356049,86,1903123.444039431,1903123.444039431,380624.6888078862,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,1903123.444039431,55.0,True,2020-07-31
MAROC TELECOM MOROCCO (MOROCCO),OK,1772112.9238972792,14.33359113173498,88,1772112.9238972792,1772112.9238972792,354422.58477945585,30,,,,,2020-07-31,2020-06-30,2020-07-31,MOROCCO,MID,1772112.9238972792,56.0,True,2020-07-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),OK,1695812.9650972264,0.05690322580645162,84,1695812.9650972264,1695812.9650972264,339162.5930194453,30,,,,,2020-07-31,2020-06-30,2020-07-31,NIGERIA,MID,1695812.9650972264,57.0,True,2020-07-31
ABU QIR FERTILIZERS EGYPT (EGYPT),OK,1639544.683728618,0.8956871793917515,82,1639544.683728618,1639544.683728618,327908.93674572365,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,1639544.683728618,58.0,True,2020-07-31
COSUMAR MOROCCO (MOROCCO),OK,1341828.0955504505,21.08790925496262,87,1341828.0955504505,1341828.0955504505,268365.61911009013,30,,,,,2020-07-31,2020-06-30,2020-07-31,MOROCCO,MID,1341828.0955504505,59.0,True,2020-07-31
TELECOM EGYPT (EGYPT),OK,1318756.5317569312,0.826835879590862,82,1318756.5317569312,1318756.5317569312,263751.30635138624,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,1318756.5317569312,60.0,True,2020-07-31
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),OK,1202268.949765556,0.362244676429905,82,1202268.949765556,1202268.949765556,240453.7899531112,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,1202268.949765556,61.0,True,2020-07-31
EASTERN TOBACCO EGYPT (EGYPT),OK,1148126.4383217471,0.7908595247399468,82,1148126.4383217471,1148126.4383217471,229625.28766434942,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,1148126.4383217471,62.0,True,2020-07-31
ZENITH BANK NIGERIA (NIGERIA),OK,1088214.641974206,0.0415483870967742,84,1088214.641974206,1088214.641974206,217642.92839484123,30,,,,,2020-07-31,2020-06-30,2020-07-31,NIGERIA,MID,1088214.641974206,63.0,True,2020-07-31
