Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank
RAYA HOLDING EGYPT (EGYPT),OK,1709608.6784914474,0.07257046256328942,86,1709608.6784914474,1709608.6784914474,341921.73569828947,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1709608.6784914474,69.0
TELECOM EGYPT (EGYPT),OK,1642910.9465048043,1.379468012366342,86,1642910.9465048043,1642910.9465048043,328582.18930096086,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1642910.9465048043,70.0
RAUBEX (SOUTH AFRICA),OK,1445528.8327893177,2.689776855967158,85,1445528.8327893177,1445528.8327893177,289105.76655786356,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,1445528.8327893177,71.0
EASTERN TOBACCO EGYPT (EGYPT),OK,1415789.8601010765,0.77813993095319,86,1415789.8601010765,1415789.8601010765,283157.9720202153,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1415789.8601010765,72.0
CORONATION (NAMIBIA),OK,1378693.9074178396,2.856556395607403,85,1378693.9074178396,1378693.9074178396,275738.78148356796,30,,,,,2026-01-31,2025-12-31,2026-01-31,NAMIBIA,LOW,1378693.9074178396,73.0
EQUITY GROUP HOLDINGS KENYA (KENYA),OK,1331072.5644936778,0.5211179639316106,83,1331072.5644936778,1331072.5644936778,266214.5128987356,30,,,,,2026-01-31,2025-12-31,2026-01-31,KENYA,MID,1331072.5644936778,74.0
EGYPT ALUMINIUM (EGYPT),OK,1291606.7965120457,4.939405761171867,86,1291606.7965120457,1291606.7965120457,258321.35930240914,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1291606.7965120457,75.0
TAQA MOROCCO (MOROCCO),OK,1283799.1196923903,239.9351450775777,85,1283799.1196923903,1283799.1196923903,256759.82393847808,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,1283799.1196923903,76.0
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),OK,1276704.0293419405,10.08605957952317,85,1276704.0293419405,1276704.0293419405,255340.80586838812,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,1276704.0293419405,77.0
ZENITH BANK NIGERIA (NIGERIA),OK,1254220.1537495987,0.04277201409123312,86,1254220.1537495987,1254220.1537495987,250844.03074991974,30,,,,,2026-01-31,2025-12-31,2026-01-31,NIGERIA,MID,1254220.1537495987,78.0
NINETY ONE (SOUTH AFRICA),OK,1216728.4625394244,2.885956720910902,85,1216728.4625394244,1216728.4625394244,243345.6925078849,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,1216728.4625394244,79.0
ABU QIR FERTILIZERS EGYPT (EGYPT),OK,1142955.6377113322,1.069680228534035,86,1142955.6377113322,1142955.6377113322,228591.12754226645,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1142955.6377113322,80.0
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),OK,1103590.1163085094,0.627126251630738,86,1103590.1163085094,1103590.1163085094,220718.0232617019,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1103590.1163085094,81.0
KCB GROUP KENYA (KENYA),OK,1088691.3383013054,0.513310953236006,83,1088691.3383013054,1088691.3383013054,217738.2676602611,30,,,,,2026-01-31,2025-12-31,2026-01-31,KENYA,MID,1088691.3383013054,82.0
CIH BANK (MOROCCO),OK,1079226.34419069,46.96843641848809,85,1079226.34419069,1079226.34419069,215845.268838138,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,1079226.34419069,83.0
PSG KONSULT (SOUTH AFRICA),OK,1064625.7856483648,1.64489271375909,85,1064625.7856483648,1064625.7856483648,212925.15712967297,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,1064625.7856483648,84.0
FIRST HOLDCO NIGERIA (NIGERIA),OK,1045710.3281657076,0.03315177143964509,86,1045710.3281657076,1045710.3281657076,209142.06563314155,30,,,,,2026-01-31,2025-12-31,2026-01-31,NIGERIA,MID,1045710.3281657076,85.0
EMAAR MISR EGYPT (EGYPT),ZERO_CONFIRMED,958458.6827029026,0.2034489846427478,86,958458.6827029026,958458.6827029026,191691.73654058052,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,958458.6827029026,86.0
ALEXANDRIA CONTAINERS AND GOODS (EGYPT),OK,935175.481831187,0.5134465096963367,86,935175.481831187,935175.481831187,187035.0963662374,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,935175.481831187,87.0
BANK OF AFRICA MOROCCO (MOROCCO),OK,812139.7779971202,25.46481492568632,85,812139.7779971202,812139.7779971202,162427.95559942405,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,812139.7779971202,88.0
EDITA FOOD INDUSTRIES COMPANY (EGYPT),OK,802821.0203529549,0.576788358523254,86,802821.0203529549,802821.0203529549,160564.204070591,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,802821.0203529549,89.0
CRDB BANK PLC TANZANIA (TANZANIA),OK,786569.365015881,0.6193577219942024,83,786569.365015881,786569.365015881,157313.8730031762,30,,,,,2026-01-31,2025-12-31,2026-01-31,TANZANIA,LOW,786569.365015881,90.0
CIMENTS DU MAROC MOROCCO (MOROCCO),OK,754883.8014653584,209.3773671667541,85,754883.8014653584,754883.8014653584,150976.76029307168,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,754883.8014653584,91.0
