Date,ObservationDate,ImplementationDate,Company,Country,Weight,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Rank,Dividend_Status,Price,Trading Days (90d),StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Regime,RawLiquidity
2026-01-31,2025-12-31,2026-01-31,BLUE LABEL TELECOMS (SOUTH AFRICA),SOUTH AFRICA,0.01321706174575021,173597509.4667697,173597509.4667697,173597509.4667697,34719501.89335393,30,2,OK,63.62263927714058,85,,,,,HIGH,173597509.4667697
2026-01-31,2025-12-31,2026-01-31,GOLD FIELDS (SOUTH AFRICA),SOUTH AFRICA,0.01321706174575021,86587037.67603363,86587037.67603363,86587037.67603363,17317407.53520673,30,5,OK,43.80605839640768,85,,,,,HIGH,86587037.67603363
2026-01-31,2025-12-31,2026-01-31,NASPERS (SOUTH AFRICA),SOUTH AFRICA,0.01321706174575021,132863970.5701644,132863970.5701644,132863970.5701644,26572794.11403288,30,3,OK,66.6715761935432,85,,,,,HIGH,132863970.5701644
2026-01-31,2025-12-31,2026-01-31,REDEFINE PROPERTIES (SOUTH AFRICA),SOUTH AFRICA,0.01321706174575021,383513362.3187276,383513362.3187276,383513362.3187276,76702672.46374552,30,1,OK,36.21782122038363,85,,,,,HIGH,383513362.3187276
2026-01-31,2025-12-31,2026-01-31,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),EGYPT,0.0125784305562644,1988389.487261987,1988389.487261987,1988389.487261987,397677.8974523974,30,65,OK,0.1805871915230988,86,,,,,MID,1988389.487261987
2026-01-31,2025-12-31,2026-01-31,MCB GROUP LTD MAURITIUS (MAURITIUS),MAURITIUS,0.01256045690596674,666674.3691565221,666674.3691565221,666674.3691565221,133334.8738313044,30,96,OK,9.666666666666666,87,,,,,LOW,666674.3691565221
2026-01-31,2025-12-31,2026-01-31,TAQA MOROCCO (MOROCCO),MOROCCO,0.01240441806931925,1283799.11969239,1283799.11969239,1283799.11969239,256759.8239384781,30,76,OK,239.9351450775777,85,,,,,MID,1283799.11969239
2026-01-31,2025-12-31,2026-01-31,SONATEL SENEGAL (SENEGAL),SENEGAL,0.01235086004929246,655549.5467677654,655549.5467677654,655549.5467677654,131109.9093535531,30,97,OK,46.74312950262769,87,,,,,LOW,655549.5467677654
2026-01-31,2025-12-31,2026-01-31,FAWRY EGYPT (EGYPT),EGYPT,0.01234911518011293,1952139.47330615,1952139.47330615,1952139.47330615,390427.89466123,30,66,ZERO_CONFIRMED,0.3381028487052675,86,,,,,MID,1952139.47330615
2026-01-31,2025-12-31,2026-01-31,EFG HOLDING EGYPT (EGYPT),EGYPT,0.01228452716240043,1941929.444729996,1941929.444729996,1941929.444729996,388385.8889459993,30,67,OK,0.5226751234327088,86,,,,,MID,1941929.444729996
2026-01-31,2025-12-31,2026-01-31,PPC (SOUTH AFRICA),SOUTH AFRICA,0.01210950550690235,66421726.10623161,66421726.10623161,66421726.10623161,13284345.22124632,30,6,OK,33.74293677032409,85,,,,,HIGH,66421726.10623161
2026-01-31,2025-12-31,2026-01-31,GRINDROD (SOUTH AFRICA),SOUTH AFRICA,0.01109488778169864,60856456.68977235,60856456.68977235,60856456.68977235,12171291.33795447,30,7,OK,102.6171601244203,85,,,,,HIGH,60856456.68977235
2026-01-31,2025-12-31,2026-01-31,RAYA HOLDING EGYPT (EGYPT),EGYPT,0.01081488017239666,1709608.678491447,1709608.678491447,1709608.678491447,341921.7356982895,30,69,OK,0.07257046256328942,86,,,,,MID,1709608.678491447
2026-01-31,2025-12-31,2026-01-31,FIRSTRAND (SOUTH AFRICA),SOUTH AFRICA,0.01062774745090542,58294149.98885582,58294149.98885582,58294149.98885582,11658829.99777116,30,8,OK,5.477945459583024,85,,,,,HIGH,58294149.98885582
2026-01-31,2025-12-31,2026-01-31,MTN GHANA (GHANA),GHANA,0.01053819950595389,559338.530459028,559338.530459028,559338.530459028,111867.7060918056,30,100,OK,0.4005046358411599,85,,,,,LOW,559338.530459028
2026-01-31,2025-12-31,2026-01-31,CIH BANK (MOROCCO),MOROCCO,0.01042777998474718,1079226.34419069,1079226.34419069,1079226.34419069,215845.268838138,30,83,OK,46.96843641848809,85,,,,,MID,1079226.34419069
2026-01-31,2025-12-31,2026-01-31,TELECOM EGYPT (EGYPT),EGYPT,0.01039295439003419,1642910.946504804,1642910.946504804,1642910.946504804,328582.1893009609,30,70,OK,1.379468012366342,86,,,,,MID,1642910.946504804
2026-01-31,2025-12-31,2026-01-31,PROSUS (SOUTH AFRICA),SOUTH AFRICA,0.009646673106822852,52912869.032721,52912869.032721,52912869.032721,10582573.8065442,30,9,OK,61.78277395914509,85,,,,,HIGH,52912869.032721
2026-01-31,2025-12-31,2026-01-31,CAPITEC BANK (SOUTH AFRICA),SOUTH AFRICA,0.00951574578200043,52194720.8883381,52194720.8883381,52194720.8883381,10438944.17766762,30,10,OK,250.8567023794505,85,,,,,HIGH,52194720.8883381
2026-01-31,2025-12-31,2026-01-31,EASTERN TOBACCO EGYPT (EGYPT),EGYPT,0.008956200257358469,1415789.860101077,1415789.860101077,1415789.860101077,283157.9720202153,30,72,OK,0.77813993095319,86,,,,,MID,1415789.860101077
2026-01-31,2025-12-31,2026-01-31,STANDARD BANK GROUP (SOUTH AFRICA),SOUTH AFRICA,0.008375946414800555,45942818.91421922,45942818.91421922,45942818.91421922,9188563.782843843,30,11,OK,17.52942547066568,85,,,,,HIGH,45942818.91421922
2026-01-31,2025-12-31,2026-01-31,EGYPT ALUMINIUM (EGYPT),EGYPT,0.008170625775283678,1291606.796512046,1291606.796512046,1291606.796512046,258321.3593024091,30,75,OK,4.939405761171867,86,,,,,MID,1291606.796512046
2026-01-31,2025-12-31,2026-01-31,BANK OF AFRICA MOROCCO (MOROCCO),MOROCCO,0.007847116564010619,812139.7779971202,812139.7779971202,812139.7779971202,162427.9555994241,30,88,OK,25.46481492568632,85,,,,,MID,812139.7779971202
2026-01-31,2025-12-31,2026-01-31,NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,0.007657418797707349,42001630.35328874,42001630.35328874,42001630.35328874,8400326.070657749,30,12,OK,20.34898285267254,85,,,,,HIGH,42001630.35328874
2026-01-31,2025-12-31,2026-01-31,MTN GROUP (SOUTH AFRICA),SOUTH AFRICA,0.007580231117039279,41578248.98720508,41578248.98720508,41578248.98720508,8315649.797441017,30,13,OK,10.23153449475838,85,,,,,HIGH,41578248.98720508
