header,status,canonical,events,output
PPC (SOUTH AFRICA),imported,PPC (SOUTH AFRICA),3,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/PPC.csv
PRESCO PLC NIGERIA (NIGERIA),imported,PRESCO PLC NIGERIA (NIGERIA),14,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/PRESCO PLC NIGERIA.csv
PROSUS (SOUTH AFRICA),imported,PROSUS (SOUTH AFRICA),6,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/PROSUS.csv
PSG KONSULT (SOUTH AFRICA),imported,PSG KONSULT (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/PSG KONSULT.csv
QUILTER (SOUTH AFRICA),imported,QUILTER (SOUTH AFRICA),17,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/QUILTER.csv
RAUBEX (SOUTH AFRICA),imported,RAUBEX (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/RAUBEX.csv
RAYA HOLDING EGYPT (EGYPT),imported,RAYA HOLDING EGYPT (EGYPT),9,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/RAYA HOLDING EGYPT.csv
REINET INVEST (SOUTH AFRICA),imported,REINET INVEST (SOUTH AFRICA),8,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/REINET INVEST.csv
REMGRO (SOUTH AFRICA),imported,REMGRO (SOUTH AFRICA),23,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/REMGRO.csv
SAFARICOM KENYA (KENYA),imported,SAFARICOM KENYA (KENYA),11,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/SAFARICOM KENYA.csv
SANLAM (SOUTH AFRICA),imported,SANLAM (SOUTH AFRICA),10,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/SANLAM.csv
SANTAM (SOUTH AFRICA),imported,SANTAM (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/SANTAM.csv
SEPLAT ENERGY NIGERIA (NIGERIA),imported,SEPLAT ENERGY NIGERIA (NIGERIA),19,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/SEPLAT ENERGY NIGERIA.csv
SHOPRITE HOLDINGS (SOUTH AFRICA),imported,SHOPRITE HOLDINGS (SOUTH AFRICA),21,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/SHOPRITE HOLDINGS.csv
SIBANYE STILLWATER (SOUTH AFRICA),imported,SIBANYE STILLWATER (SOUTH AFRICA),11,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/SIBANYE STILLWATER.csv
