Date,Conservative,Balanced,Growth,Aggressive
2019-06-21,1272.7825373678736,1301.2755248079395,1328.899657271348,1393.437486817954
2019-06-23,1272.7784152610518,1301.2572065828099,1328.8665469350217,1393.365245460507
2019-06-24,1267.3377298859473,1296.404796923854,1324.6362588876598,1390.830760399005
2019-06-25,1261.650671499055,1291.6052892866558,1320.7723885393705,1389.4900349922834
2019-06-26,1263.7656647403924,1293.7370323771822,1322.9180498821518,1391.655531789183
2019-06-27,1258.1546346168152,1290.0979994186137,1321.34948533517,1395.6541962345489
2019-06-28,1270.0176628406025,1299.145583864578,1327.4241068756285,1393.7000237961731
2019-07-02,1270.0176628406025,1299.145583864578,1327.4241068756285,1393.7000237961731
2019-07-03,1266.9060786036173,1295.58636658229,1323.402957106796,1388.4876600121174
2019-07-04,1266.9820275401212,1294.7809614687726,1321.678226516011,1384.324482897838
2019-07-05,1262.0982884379218,1291.3524724902704,1319.7733767980287,1386.4883817862933
2019-07-07,1262.1195942251663,1291.4060665342474,1319.8606445350142,1386.6649746626986
2019-07-08,1259.4796051399244,1290.0043606512147,1319.7562296247684,1390.021446055555
2019-07-09,1244.9568306188546,1278.1145989625363,1310.6460805600113,1388.4508578931866
2019-07-10,1257.85696795788,1288.5636198399757,1318.4952303448015,1389.1982786463695
2019-07-11,1253.4919821128706,1282.8372624459128,1311.3518956262358,1378.3114211841776
2019-07-12,1251.5668292385828,1281.147869891583,1309.9120235731662,1377.5533565958272
2019-07-14,1250.544408518257,1279.1418177160506,1306.8799236586526,1371.7959931842581
2019-07-15,1245.8687664587924,1274.5734030193403,1302.4312368093124,1367.6926304451665
2019-07-16,1251.0065754556128,1276.563225975945,1301.1267985865484,1357.594777423541
2019-07-17,1241.0044131184932,1266.2789603169504,1290.5653766421035,1346.3874501432038
2019-07-18,1242.8008806643413,1267.4064763797057,1290.9954472543363,1344.9536957132484
2019-07-19,1245.6271802059114,1269.3463332837796,1292.011469709016,1343.5269995273225
2019-07-21,1245.2719191765166,1268.74809556594,1291.1621204342962,1342.0206302629729
2019-07-22,1241.329615701799,1265.8194694443166,1289.2889759620168,1342.947541319248
2019-07-23,1244.5745931609918,1268.8845491507057,1292.1624457002417,1345.2790406392442
2019-07-24,1241.6909611729045,1266.57436667841,1290.451210630064,1345.1686714483137
2019-07-25,1235.9417696971086,1261.2871640667406,1285.652419667588,1341.7049847149817
2019-07-26,1230.5624692559854,1256.4037788951352,1281.2926376698174,1338.7663024328353
2019-07-28,1230.1285669706497,1255.493630221316,1279.8880709446194,1336.0598104298483
2019-07-29,1237.901342333982,1259.9187183602498,1280.8230183503388,1327.725370556287
2019-07-30,1228.763749564874,1251.9633055308686,1274.1026236525613,1324.3049668945014
2019-07-31,1221.5905650401323,1245.8818653190922,1269.16251913818,1322.4195505493917
2019-08-01,1221.5905650401323,1245.8818653190922,1269.16251913818,1322.4195505493917
2019-08-02,1222.2645003944167,1245.6922853841834,1268.076094082964,1318.9786100417837
2019-08-04,1222.8993552937134,1246.3389347497061,1268.7339822187844,1319.6662195920696
2019-08-05,1213.7402258975517,1238.9345295196977,1263.161493451943,1318.972727063261
2019-08-06,1209.7679980659823,1234.1213391732742,1257.480841634928,1311.0335179034946
2019-08-07,1211.1112130985434,1234.8001217716464,1257.467911902492,1309.184881206257
2019-08-08,1199.6431900662692,1225.7484299510438,1250.9391712072397,1309.3642425731293
2019-08-09,1195.8060994633329,1223.3668687743332,1250.0793225901164,1312.5573145949024
2019-08-12,1189.2132528852612,1217.8776348615538,1245.7532093206469,1311.3710437769773
2019-08-13,1184.4278488300226,1213.4349346556187,1241.6773554038934,1308.3150636153362
2019-08-14,1172.1068007737986,1202.4376236376215,1232.087401421441,1302.6013552755173
2019-08-15,1167.3569178025539,1197.5714183971807,1227.1079588591347,1297.3591870133898
2019-08-16,1163.1482410974875,1192.7177217533274,1221.5852427291732,1290.0925325081826
2019-08-18,1163.6192307194106,1193.2907985583583,1222.2644845459579,1291.055039648047
2019-08-19,1167.2556478115885,1193.8347599286826,1219.5591336815703,1279.6164448532131
2019-08-20,1169.597230850513,1196.0047783867278,1221.5461814522434,1281.0980986834709
2019-08-21,1175.254128697032,1200.7805054534103,1225.3934574451666,1282.4368642115876
2019-08-22,1175.4011122718916,1202.047525106775,1227.8261838568162,1287.9697595879395
2019-08-23,1184.6549545934938,1209.5030033497815,1233.3903342351757,1288.4562683668187
2019-08-25,1184.4920923045765,1209.1518686373117,1232.8437574556058,1287.3954650967494
2019-08-26,1181.5825331863027,1206.5651527412626,1230.5972874733254,1286.0643616598186
2019-08-27,1177.8643747090111,1203.3191537258085,1227.848379284264,1284.6582855688248
2019-08-28,1179.630636177532,1204.2163058789395,1227.8380450665006,1282.2304962208657
2019-08-29,1178.2869454652282,1203.640013615228,1228.0614542886115,1284.5811135910294
2019-08-30,1182.2152822192138,1207.0367102340333,1230.8984012034057,1285.8902039793707
2019-09-02,1182.2152822192138,1207.0367102340333,1230.8984012034057,1285.8902039793707
2019-09-03,1179.8813543346303,1204.7409439260166,1228.6461374426801,1283.7400409697527
2019-09-04,1173.9828956482336,1199.3583108635912,1223.8095038578533,1280.3864643572615
2019-09-05,1177.7702874361146,1203.989919528782,1229.3134317904144,1288.1670409875444
2019-09-06,1176.8734316548332,1202.4192179636257,1227.0420607208823,1284.0294090524162
2019-09-08,1177.0138763946538,1202.648044950491,1227.3626546974444,1284.592115779546
2019-09-09,1176.6023404187856,1202.1291317293362,1226.7326408856238,1283.6769064084574
2019-09-10,1178.0798676319255,1203.9020446943537,1228.8105591412725,1286.5499927196413
2019-09-11,1185.678243414254,1210.2163482564592,1233.774871416093,1287.8761828712506
2019-09-12,1202.7196483854743,1224.3927256473098,1244.9468678334051,1291.004503860603
2019-09-13,1206.2858841714715,1229.7707638289885,1252.1920632163685,1303.112169290786
2019-09-15,1205.7549494761072,1228.8962429739695,1250.9622726508899,1300.95195338985
2019-09-16,1218.9130049746032,1241.1294216951978,1262.2165574263713,1309.5355820737311
2019-09-17,1209.7039188498463,1230.8513761791576,1250.8474641738483,1295.3738343794398
2019-09-18,1216.5257726524837,1235.7866498017734,1253.8244921414712,1293.2085167723972
2019-09-19,1209.8156648559486,1230.0650068089465,1249.1300170902432,1291.2219746055173
2019-09-20,1212.3700143435265,1231.8212440631623,1250.0595760920628,1289.9791544187774
2019-09-22,1208.3303359659417,1226.0556654169727,1242.52295051831,1277.8570841431797
2019-09-23,1207.3420627799526,1223.268203358375,1237.8893877514895,1268.4515416615695
2019-09-24,1196.1678919192261,1211.7889245478702,1226.1133085557474,1255.9729464406505
2019-09-25,1193.6703547431775,1210.215553650847,1225.489431245169,1257.8200431817786
2019-09-26,1196.6896551183336,1212.1376249454338,1226.2823055922074,1255.6823627827628
2019-09-27,1195.445367764775,1212.1214929654059,1227.5247221734967,1260.1725404083252
2019-09-29,1198.3247390632043,1216.2228462465584,1232.875027740627,1268.7339703024752
2019-09-30,1206.154555840769,1223.0646764029152,1238.6904735906567,1271.8555760972758
2019-10-01,1206.154555840769,1223.0646764029152,1238.6904735906567,1271.8555760972758
2019-10-02,1185.429014796603,1207.4486612644423,1228.3440356357335,1275.2296179510538
2019-10-03,1178.55470271785,1203.1181580670977,1226.6563237346047,1280.5163154700465
2019-10-04,1176.7418030531578,1200.9561724284588,1224.1346484712528,1277.0534405348374
2019-10-07,1178.5371815447875,1202.1917755536242,1224.7858623440566,1276.14479270379
2019-10-08,1176.8115225058875,1199.4353811515293,1220.9628438726827,1269.525194004704
2019-10-09,1171.0468142679542,1193.2999801206627,1214.4527926160304,1262.071307560446
2019-10-10,1176.8276366889254,1196.7807494018912,1215.5426394374845,1256.8539760108151
2019-10-11,1177.6760448550574,1198.966927850009,1219.107222718887,1263.9987784901484
2019-10-13,1177.2303303977683,1198.7878132294352,1219.2043708227095,1264.8159958780222
2019-10-14,1175.920880454909,1197.2478442627948,1217.428116722008,1262.430928866052
2019-10-15,1174.0575882128037,1194.9964739163365,1214.7785419201373,1258.7490860263124
2019-10-16,1182.1827353109359,1201.5042793349164,1219.6026549417354,1259.1228904314512
2019-10-17,1181.1906603103512,1201.0841519252901,1219.7732206760966,1260.8463694015604
2019-10-18,1177.8280673115667,1198.9008149741614,1218.8110297628075,1263.0895773704178
2019-10-20,1177.9761897711555,1199.0843696666739,1219.0309593192471,1263.404268582707
2019-10-21,1178.800354162253,1199.500410273549,1219.0239939510445,1262.2827594630398
2019-10-22,1181.0236386422796,1201.627840823494,1221.0489604457116,1264.031729850753
2019-10-23,1179.1697676360784,1202.0478493292144,1223.819253469691,1272.9394503576077
2019-10-24,1176.70369233055,1199.319851344724,1220.8238926068384,1269.2751109778808
2019-10-25,1177.903398261135,1202.2813838267543,1225.6084706990237,1278.83719889374
2019-10-27,1178.520029830927,1203.0821986173826,1226.5995705211199,1280.3284200189455
2019-10-28,1181.7611020398297,1206.4230286260342,1230.0385442245658,1284.0030182112441
2019-10-29,1176.9989147424453,1202.566766822882,1227.13178207186,1283.6505472051945
2019-10-30,1180.246638314496,1207.0844030216324,1232.9655628697863,1292.9605160409951
2019-10-31,1190.3379953269696,1216.629343455772,1241.9226359662757,1300.2991517719474
2019-11-01,1190.3379953269696,1216.629343455772,1241.9226359662757,1300.2991517719474
2019-11-04,1197.9467378603001,1221.357406113532,1243.6368747935119,1293.9648793260706
2019-11-05,1197.5371536312866,1221.177029998742,1243.6947478040292,1294.6395507192342
2019-11-06,1202.064340653055,1222.8288751300627,1242.3576741191778,1285.4345967110314
2019-11-07,1196.8255848429665,1218.8447507465958,1239.67653047468,1286.1938819267693
2019-11-08,1192.695098599374,1213.77197320261,1233.6359469997471,1277.6455734117465
2019-11-11,1185.0294393373522,1207.6090915427706,1229.0372597464104,1277.176172753314
2019-11-12,1192.1179462367318,1213.3589623085106,1233.389306964107,1277.7993432355665
2019-11-13,1190.6546758719787,1211.6216984760995,1231.371350257411,1275.0538565410661
2019-11-14,1207.6285985990328,1227.1445445244283,1245.3687148076879,1284.9591434335193
2019-11-15,1202.5508117022387,1224.4443953114817,1245.1246922047346,1291.123037166568
2019-11-17,1202.288785021998,1224.1585256542705,1244.8145996841147,1290.7500840146786
2019-11-18,1204.7122663595164,1225.1354813258245,1244.2922791189692,1286.2827631122084
2019-11-19,1210.955182884597,1229.5893322694671,1246.8912426892164,1284.0015027461563
2019-11-20,1218.9908492121167,1237.0323445149754,1253.7126016484756,1289.163609300237
2019-11-21,1215.6085064655497,1236.1629680816093,1255.4290887240297,1297.5766351686548
2019-11-22,1218.547755878887,1238.9725476476817,1258.1002922495613,1299.8737315994674
2019-11-24,1218.278336056681,1238.4526096538752,1257.3225271009321,1298.42731485687
2019-11-25,1218.9143475129265,1239.6189225259004,1259.0342995657008,1301.5610733208289
2019-11-26,1206.1995078750952,1229.7018380766665,1252.0228226491204,1302.2088527778837
2019-11-27,1211.5206731917947,1233.913470039054,1255.0756663180853,1302.1772209263295
2019-11-28,1210.6571679753697,1233.7611129450768,1255.6602749554272,1304.7114066679294
2019-11-29,1215.434722329979,1237.3884350685487,1258.0885407530325,1303.9729277487477
2019-12-02,1215.434722329979,1237.3884350685487,1258.0885407530325,1303.9729277487477
2019-12-03,1217.0540320527612,1238.2334258577143,1258.130656891987,1301.9174843011292
2019-12-04,1219.4427565793703,1241.2416551007886,1261.7744480892238,1307.1933872639938
2019-12-05,1213.787281337293,1235.236306863903,1255.4168681992312,1299.9677604482838
2019-12-06,1217.0717740466011,1238.5563080433558,1258.7682091617628,1303.3723139822137
2019-12-08,1216.5387173492777,1237.825238722805,1257.8335290227394,1301.9091293901174
2019-12-09,1209.547387023052,1230.6646725885075,1250.5095566244875,1294.199526931688
2019-12-10,1205.0862288157275,1228.8036010683454,1251.339631224119,1302.067891462773
