InputCompany,MatchType,MatchedCompany,AM100,AM200,AM300,CoveragePct,LatestAvgDailyUSDLiquidity,LatestRank,Status,Reason
Arabian Cement Company,missing,,,,,,,,Missing entirely,not_in_master_dataset
AECI Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
United Bank for Africa,likely_match,UNITED BANK FOR AFRICA NIGERIA (NIGERIA),True,False,True,0.6604227990366605,894030517.3920587,21.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Stanbic Uganda Holdings Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Jaiz Bank Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
Stanbic IBTC,missing,,,,,,,,Missing entirely,not_in_master_dataset
BUA Cement,missing,,,,,,,,Missing entirely,not_in_master_dataset
Fidelity Bank Holdings PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
MTN Uganda Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Wema Bank Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
FCMB Group,missing,,,,,,,,Missing entirely,not_in_master_dataset
Lafarge Africa,missing,,,,,,,,Missing entirely,not_in_master_dataset
Stanbic IBTC Holdings Plc,likely_match,STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),True,False,True,0.6604227990366605,367134202.1897059,90.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Oando PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Dangote Sugar Refinery PLC,likely_match,DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),True,False,True,0.6604227990366605,249366159.4976471,65.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Honeywell Flour Mills,likely_match,HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),False,True,True,0.6604227990366605,56827656.71452942,113.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Kenya Electricity Generating Company PLC,likely_match,KENYA ELECTRICITY GENERATING CO (KENYA),False,True,True,0.6639015252876639,17329444.832294118,144.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Co-operative Bank,likely_match,CO-OPERATIVE BANK KENYA (KENYA),False,True,True,0.6641691196146642,23319395.698235296,131.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Kenya Reinsurance Corporation Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
CI Capital Holding,missing,,,,,,,,Missing entirely,not_in_master_dataset
Aradel Holdings PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Alexandria Containers and goods,missing,,,,,,,,Missing entirely,not_in_master_dataset
NASCON Allied Industries,likely_match,NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),True,False,True,0.6604227990366605,221997431.97,74.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
The CIC Insurance Group PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
KAP Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Fidson Healthcare Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
The Kenya Power and Lighting Company PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
HF Group Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
I&M Group PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Credit Agricole - Egypt Bank (S.A.E.),missing,,,,,,,,Missing entirely,not_in_master_dataset
ArcelorMittal South Africa Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Hulamin Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Export Development Bank of Egypt,missing,,,,,,,,Missing entirely,not_in_master_dataset
CalBank PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
IBL Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Sonatel,missing,,,,,,,,Missing entirely,not_in_master_dataset
Zambia National Commercial Bank Plc,exact_normalized,ZAMBIA NATIONAL COMMERCIAL BANK (ZAMBIA),False,False,False,0.6408884131656409,659130.4673837209,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
CEIL Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Seplat Energy,missing,,,,,,,,Missing entirely,not_in_master_dataset
New Mauritius Hotels,exact_normalized,NEW MAURITIUS HOTELS (MAURITIUS),False,True,True,0.6582820444206583,978112.2798816568,183.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Capricorn Group Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
East African Breweries,likely_match,EAST AFRICAN BREWERIES KENYA (KENYA),False,True,True,0.6617607706716617,34609074.011764705,119.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
NMB Bank,missing,,,,,,,,Missing entirely,not_in_master_dataset
Namibia Breweries Limited,likely_match,TANZANIA BREWERIES LTD (TANZANIA),True,False,True,0.6582820444206583,582713485.9649123,12.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Nestlé Nigeria PLC,likely_match,NESTLÉ NIGERIA (NIGERIA),True,False,True,0.6604227990366605,325537270.0994118,46.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Poulina Group Holding S.A,likely_match,POULINA GROUP HOLDING TUNISIA (TUNISIA),False,True,True,0.6018196414236018,799216.4584615384,188.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Faisal Islamic Bank of Egypt,missing,,,,,,,,Missing entirely,not_in_master_dataset
NCBA Group,missing,,,,,,,,Missing entirely,not_in_master_dataset
Société de Fabrication des Boissons de Tunisie Société Anonyme (SFBT),missing,,,,,,,,Missing entirely,not_in_master_dataset
Ste Nationale de Siderurgie SA,missing,,,,,,,,Missing entirely,not_in_master_dataset
MCB Group Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
First National Bank of Botswana Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
SBM Holdings Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
GCB Bank PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Stanbic Holdings PLC,likely_match,STANBIC HOLDINGS KENYA (KENYA),False,True,True,0.6625635536526626,29307052.22058824,142.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
British American Tobacco Kenya plc,exact_normalized,BRITISH AMERICAN TOBACCO KENYA (KENYA),False,True,True,0.6572116671126572,16707690.952941176,150.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Sechaba Brewery Holdings Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Choppies Enterprises Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
ZCCM Investments Holdings Plc,likely_match,ZCCM INVESTMENTS HOLDINGS ZAMBIA (ZAMBIA),False,False,False,0.6296494514316296,77076.2951744186,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Britam Holdings PLC,likely_match,BRITAM HOLDINGS KENYA (KENYA),False,True,True,0.6639015252876639,3395755.4981176467,174.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Jubilee Holdings Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Letshego Holdings,exact_normalized,LETSHEGO HOLDINGS (NAMIBIA),False,False,False,0.0917848541610917,290356.203030303,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Transpaco,missing,,,,,,,,Missing entirely,not_in_master_dataset
Centum Investment Company,missing,,,,,,,,Missing entirely,not_in_master_dataset
Bamburi Cement Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
National Bank of Malawi,exact_normalized,NATIONAL BANK OF MALAWI (MALAWI),True,False,True,0.6427615734546428,122940094.30358826,96.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BUA Foods,missing,,,,,,,,Missing entirely,not_in_master_dataset
El Sewedy Electric,missing,,,,,,,,Missing entirely,not_in_master_dataset
