Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
SPAR (SOUTH AFRICA),OK,4563324.960057491,6.457695078595115,87,87,4563324.960057491,4563324.960057491,912664.9920114983,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,4563324.960057491,51.0,True,2025-04-30
MARSA MAROC MOROCCO (MOROCCO),OK,4498114.792940437,81.00095581127857,87,87,4498114.792940437,4498114.792940437,899622.9585880875,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,4498114.792940437,52.0,True,2025-04-30
HULAMIN LIMITED (SOUTH AFRICA),OK,4078504.466532759,11.25167204762407,83,83,4078504.466532759,4078504.466532759,815700.8933065519,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,4078504.466532759,53.0,True,2025-04-30
AVI (SOUTH AFRICA),OK,4032671.873954411,4.842588561856067,87,87,4032671.873954411,4032671.873954411,806534.3747908822,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,4032671.873954411,54.0,True,2025-04-30
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),OK,3130236.9638497094,1.631423048079986,86,86,3130236.9638497094,3130236.9638497094,626047.392769942,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,3130236.9638497094,55.0,True,2025-04-30
QUILTER (SOUTH AFRICA),OK,3023358.749334528,1.908960864390588,87,87,3023358.749334528,3023358.749334528,604671.7498669056,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,3023358.749334528,56.0,True,2025-04-30
LIFE HEALTHCARE (SOUTH AFRICA),OK,2843328.951936103,0.7553913806730139,87,87,2843328.951936103,2843328.951936103,568665.7903872206,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,2843328.951936103,57.0,True,2025-04-30
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),OK,2755733.928751872,1.050679973960549,86,86,2755733.928751872,2755733.928751872,551146.7857503744,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,2755733.928751872,58.0,True,2025-04-30
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),OK,2395107.398087666,30.60216110550105,87,87,2395107.398087666,2395107.398087666,479021.4796175332,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,2395107.398087666,59.0,True,2025-04-30
TAQA MOROCCO (MOROCCO),OK,2056686.2919947403,249.482943898738,87,87,2056686.2919947403,2056686.2919947403,411337.25839894806,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,2056686.2919947403,60.0,True,2025-04-30
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),OK,1872501.7880382866,9.863237564854147,87,87,1872501.7880382866,1872501.7880382866,374500.3576076573,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,1872501.7880382866,61.0,True,2025-04-30
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),OK,1803555.3309441493,0.1398927950263857,86,86,1803555.3309441493,1803555.3309441493,360711.0661888299,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,1803555.3309441493,62.0,True,2025-04-30
