Company,HasPriceSeries,HasDividendSeries,DividendEvents,Status,Dividend_Status,Materiality,ResolutionAction,WorkbookHeader
EL SEWEDY ELECTRIC (EGYPT),True,True,2,OK,OK,NON_MATERIAL,None,
EMAAR MISR EGYPT (EGYPT),True,True,0,Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/EMAAR MISR EGYPT.csv,EMAAR MISR EGYPT (EGYPT)
ENL LIMITED MAURITIUS (MAURITIUS),True,True,6,OK,OK,NON_MATERIAL,None,
ENTERPRISE GROUP PLC (GHANA),True,True,7,OK,OK,NON_MATERIAL,None,
EQUITY GROUP HOLDINGS KENYA (KENYA),True,True,8,OK,OK,MATERIAL,None,EQUITY GROUP HOLDINGS KENYA (KENYA)
ETERNA PLC NIGERIA (NIGERIA),True,True,6,OK,OK,NON_MATERIAL,None,ETERNA PLC NIGERIA (NIGERIA)
EVEREADY EAST AFRICA KENYA (KENYA),True,True,1,OK,OK,NON_MATERIAL,None,
EXPORT DEVELOPMENT BANK OF (EGYPT),True,True,3,OK,OK,NON_MATERIAL,None,
EXXARO RESOURCES (SOUTH AFRICA),True,True,19,OK,OK,MATERIAL,None,EXXARO RESOURCES (SOUTH AFRICA)
FAN MILK PLC (GHANA),True,True,6,OK,OK,NON_MATERIAL,None,
FAWRY EGYPT (EGYPT),True,True,0,Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/FAWRY EGYPT.csv,FAWRY EGYPT (EGYPT)
FCMB GROUP NIGERIA (NIGERIA),True,True,10,OK,OK,MATERIAL,None,FCMB GROUP NIGERIA (NIGERIA)
FDH BANK MALAWI (MALAWI),True,True,19,OK,OK,MATERIAL,None,
FIDELITY BANK NIGERIA (NIGERIA),True,True,13,OK,OK,MATERIAL,None,FIDELITY BANK NIGERIA (NIGERIA)
FIRST CAPITAL BANK (ZIMBABWE),True,True,6,OK,OK,NON_MATERIAL,None,
FIRST HOLDCO NIGERIA (NIGERIA),True,True,10,OK,OK,MATERIAL,None,FIRST HOLDCO NIGERIA (NIGERIA)
FIRSTRAND (SOUTH AFRICA),True,True,20,OK,OK,MATERIAL,None,FIRSTRAND (SOUTH AFRICA)
FMB CAPITAL HOLDINGS MALAWI (MALAWI),True,True,11,OK,OK,MATERIAL,None,
FORTRESS REAL ESTATE INVESTMENTS LIMITED (SOUTH AFRICA),False,True,6,Missing Price,OK,NON_MATERIAL,None,
FOSCHINI (SOUTH AFRICA),True,True,18,OK,OK,MATERIAL,None,FOSCHINI (SOUTH AFRICA)
GB AUTO EGYPT (EGYPT),True,True,4,OK,OK,MATERIAL,None,GB AUTO EGYPT (EGYPT)
GCB BANK PLC GHANA (GHANA),True,True,7,OK,OK,NON_MATERIAL,None,
GEREGU POWER NIGERIA (NIGERIA),True,True,4,OK,OK,NON_MATERIAL,None,
GLENCORE (SOUTH AFRICA),True,True,18,OK,OK,MATERIAL,None,GLENCORE (SOUTH AFRICA)
GOIL PLC (GHANA),True,True,5,OK,OK,NON_MATERIAL,None,
GOLD FIELDS (SOUTH AFRICA),True,True,20,OK,OK,MATERIAL,None,GOLD FIELDS (SOUTH AFRICA)
GRINDROD (SOUTH AFRICA),True,True,20,OK,OK,MATERIAL,None,GRINDROD (SOUTH AFRICA)
GROWTHPOINT PROPERTIES (SOUTH AFRICA),True,True,21,OK,OK,MATERIAL,None,
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),True,True,20,OK,OK,MATERIAL,None,GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA)
GUINNESS NIGERIA (NIGERIA),True,True,6,OK,OK,MATERIAL,None,GUINNESS NIGERIA (NIGERIA)
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),True,True,12,OK,OK,MATERIAL,None,HARMONY GOLD MINING COMPANY (SOUTH AFRICA)
HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),True,True,9,OK,OK,MATERIAL,None,
HF GROUP (KENYA),True,True,2,OK,OK,NON_MATERIAL,None,
HIPPO VALLEY ESTATES (ZIMBABWE),True,True,11,OK,OK,NON_MATERIAL,None,
HOME AFRIKA KENYA (KENYA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),True,True,4,OK,OK,MATERIAL,None,HONEYWELL FLOUR MILLS NIGERIA (NIGERIA)
HULAMIN LIMITED (SOUTH AFRICA),True,True,3,OK,OK,NON_MATERIAL,None,
HYPROP (SOUTH AFRICA),False,True,9,Missing Price,OK,NON_MATERIAL,None,
HYPROP INVESTMENTS LTD (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
I&M BANK RWANDA (RWANDA),False,True,7,Missing Price,OK,NON_MATERIAL,None,
I&M GROUP KENYA (KENYA),False,True,10,Missing Price,OK,NON_MATERIAL,None,
IBL LTD (MAURITIUS),False,True,8,Missing Price,OK,NON_MATERIAL,None,
IBNSINA PHARMA (EGYPT),True,True,6,OK,OK,MATERIAL,None,
ICON PROPERTIES MALAWI (MALAWI),True,True,11,OK,OK,NON_MATERIAL,None,
IM BANK (RWANDA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
IM GROUP KENYA (KENYA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),True,True,9,OK,OK,MATERIAL,None,IMPALA PLATINUM HOLDINGS (SOUTH AFRICA)
INNSCOR AFRICA (ZIMBABWE),True,True,13,OK,OK,NON_MATERIAL,None,INNSCOR AFRICA (ZIMBABWE)
INTERNATIONAL BREWERIES NIGERIA (NIGERIA),True,True,1,OK,OK,MATERIAL,None,INTERNATIONAL BREWERIES NIGERIA (NIGERIA)
INTRAVENOUS INFUSIONS (GHANA),True,True,2,OK,OK,NON_MATERIAL,None,
INVESTEC (SOUTH AFRICA),True,True,14,OK,OK,MATERIAL,None,INVESTEC (SOUTH AFRICA)
IRELAND BLYTH MAURITIUS (MAURITIUS),True,True,9,OK,OK,NON_MATERIAL,None,
JAIZ BANK NIGERIA (NIGERIA),True,True,6,OK,OK,MATERIAL,None,JAIZ BANK NIGERIA (NIGERIA)
JUBILEE HOLDINGS KENYA (KENYA),True,True,7,OK,OK,NON_MATERIAL,None,
JUHAYNA FOOD INDUSTRIES (EGYPT),True,True,10,OK,OK,MATERIAL,None,
JULIUS BERGER NIGERIA (NIGERIA),True,True,9,OK,OK,NON_MATERIAL,None,JULIUS BERGER NIGERIA (NIGERIA)
KAP LIMITED (SOUTH AFRICA),False,True,3,Missing Price,OK,NON_MATERIAL,None,
