company,country,status,reason,flag_low_history,flag_illiquid,flag_missing_data,flag_outlier_return
TOTALENERGIES MARKETING NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
TRANSCORP HOTELS NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
TRANSCORP PLC NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
TRANSCORP POWER NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
UPDC PLC NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
UNILEVER NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
WEMA BANK NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
ZENITH BANK NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
BANK OF KIGALI RWANDA (RWANDA),RWANDA,INCLUDED,passed filters,False,False,False,False
BRALIRWA RWANDA (RWANDA),RWANDA,INCLUDED,passed filters,False,False,False,False
CIMERWA RWANDA (RWANDA),RWANDA,INCLUDED,passed filters,False,False,False,False
IM BANK (RWANDA),RWANDA,INCLUDED,passed filters,False,False,False,False
MTN RWANDA (RWANDA),RWANDA,INCLUDED,passed filters,False,False,False,False
BANK OF AFRICA SENEGAL (SENEGAL),SENEGAL,INCLUDED,passed filters,False,False,False,False
SONATEL SENEGAL (SENEGAL),SENEGAL,INCLUDED,passed filters,False,False,False,False
TOTALENERGIES MARKETING SENEGAL (SENEGAL),SENEGAL,INCLUDED,passed filters,False,False,False,False
AECI (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
ABSA (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
ANGLO AMERICAN (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
ARCELORMITTAL SOUTH AFRICA LIMITED (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
AVI (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
BHP (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
BID CORP (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
BID CORPORATION (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
BIDVEST (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
BLUE LABEL TELECOMS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
CAPITEC BANK (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
CLICKS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
DISCHEM PHARMACIES (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
DISCOVERY HOLDINGS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
EXXARO RESOURCES (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
FIRSTRAND (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
FORTRESS REIT LTD (SOUTH AFRICA),SOUTH_AFRICA,EXCLUDED,price is 0 or NaN in last 90 days,False,True,,
FOSCHINI (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
GLENCORE (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
GOLD FIELDS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
GRINDROD (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
GROWTHPOINT PROPERTIES (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
HYPROP INVESTMENTS LTD (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
HULAMIN LIMITED (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
INVESTEC (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
KAP LTD (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
KUMBA IRON ORE (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
LIFE HEALTHCARE (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
MTN GROUP (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
MONDI (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
MOTUS HOLDINGS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
MR PRICE (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
NASPERS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
NEDBANK LIMITED (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
NETCARE LTD (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
NINETY ONE (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
OMNIA HOLDINGS LTD (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
OUTSURANCE (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
OLD MUTUAL (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
PPC (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
PSG KONSULT (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
PEPKOR HOLDINGS LTD (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
PICK N PAY STORES (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
PROSUS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
QUILTER (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
RAUBEX (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
REDEFINE PROPERTIES (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
REINET INVEST (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
REMGRO (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
SPAR (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
SANLAM (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
SANTAM (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
SHOPRITE HOLDINGS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
SIBANYE STILLWATER (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
STANDARD BANK GROUP (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
SUN INTERNATIONAL LTD (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
THUNGELA RESOURSES (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
TIGER BRANDS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
TRANSPACO (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
TRUWORTHS INT (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
TSOGO SUN GAMING (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
VODACOM (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
