Date,High Risk
2020-07-21,1291.7868369021712
2020-07-22,1293.964710554988
2020-07-23,1295.8731165544903
2020-07-24,1297.4180796015398
2020-07-26,1298.410159930115
2020-07-27,1292.952253987395
2020-07-28,1300.4273559217118
2020-07-29,1299.988749914236
2020-07-30,1299.5852769241153
2020-07-31,1298.3856448160304
2020-08-03,1298.3856448160304
2020-08-04,1299.9413913368046
2020-08-05,1295.729487495314
2020-08-06,1296.2610067717555
2020-08-07,1293.251999624682
2020-08-09,1294.864721690181
2020-08-10,1297.8729395578089
2020-08-11,1300.4845213548674
2020-08-12,1310.0772279554933
2020-08-13,1312.9481829914946
2020-08-14,1303.9500692524136
2020-08-16,1306.7831904769791
2020-08-17,1302.0713067703584
2020-08-18,1294.432343041199
2020-08-19,1300.826297645131
2020-08-20,1303.1155800718711
2020-08-21,1311.3270410682992
2020-08-23,1315.8855559947017
2020-08-24,1324.437754855834
2020-08-25,1327.2620057531155
2020-08-26,1323.839408859903
2020-08-27,1331.6822957986665
2020-08-28,1335.5360484727066
2020-08-30,1339.3182037904992
2020-08-31,1346.0091016347578
2020-09-01,1346.0091016347578
2020-09-02,1342.3318694455234
2020-09-03,1342.5486530826406
2020-09-04,1343.8034213108363
2020-09-06,1341.1211938099473
2020-09-07,1343.5020017682548
2020-09-08,1340.1439206370155
2020-09-09,1341.4510078214687
2020-09-10,1352.6604588685907
2020-09-11,1346.5903997099463
2020-09-13,1346.2632337161415
2020-09-14,1339.4278877157342
2020-09-15,1333.7816325415306
2020-09-16,1332.8406710932936
2020-09-17,1327.3750061936387
2020-09-18,1333.8763163470303
2020-09-20,1334.3649589565332
2020-09-21,1328.0241130363017
2020-09-22,1331.0957999191073
2020-09-23,1331.9670743909876
2020-09-24,1328.2616261120938
2020-09-25,1328.5991998066588
2020-09-27,1327.2463809625053
2020-09-28,1336.6165818484271
2020-09-29,1345.814286023548
2020-09-30,1354.3441068858833
2020-10-01,1354.3441068858833
2020-10-02,1361.6754592413213
2020-10-04,1365.8568146184807
2020-10-05,1366.932789564587
2020-10-06,1380.3725745121037
2020-10-07,1379.2422100371136
2020-10-08,1386.275923420656
2020-10-09,1391.6098718251599
2020-10-11,1390.450768057399
2020-10-12,1386.8751940049626
2020-10-13,1388.8757791884839
2020-10-14,1396.8626435981218
2020-10-15,1402.3689632262913
2020-10-16,1418.9551491521897
2020-10-18,1417.5565589439852
2020-10-19,1422.3659305450442
2020-10-20,1424.3638551639363
2020-10-21,1422.6527082201083
2020-10-22,1415.7336629221686
2020-10-23,1423.099921486424
2020-10-25,1421.3914297884428
2020-10-26,1414.8254490595627
2020-10-27,1420.9167059580107
2020-10-28,1431.21553378574
2020-10-29,1427.3030651559388
2020-10-30,1438.0034601240416
2020-11-02,1438.0034601240416
2020-11-03,1438.8797209655888
2020-11-04,1443.0377667484274
2020-11-05,1439.657060961389
2020-11-06,1449.7980868757998
2020-11-08,1450.9459544595288
2020-11-09,1464.8412330504784
2020-11-10,1483.2818879227477
2020-11-11,1501.5865059555256
2020-11-12,1523.2784482803218
2020-11-13,1517.2841749135735
2020-11-15,1516.258513777132
2020-11-16,1510.4263182024633
2020-11-17,1516.2508116906981
