Rank,Company,Country,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD
98.0,JUHAYNA FOOD INDUSTRIES (EGYPT),EGYPT,555779.9461982952,555779.9461982952,555779.9461982952,111155.98923965904
99.0,ARABIAN CEMENT COMPANY (EGYPT),EGYPT,547958.8862008054,547958.8862008054,547958.8862008054,109591.77724016109
100.0,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),EGYPT,457398.31908757874,457398.31908757874,457398.31908757874,91479.66381751576
101.0,PADENGA HOLDINGS (ZIMBABWE),ZIMBABWE,441501.0551167937,441501.0551167937,441501.0551167937,88300.21102335874
102.0,FIDELITY BANK NIGERIA (NIGERIA),NIGERIA,403830.09214473586,403830.09214473586,403830.09214473586,80766.01842894718
103.0,DELTA CORPORATION LIMITED (ZIMBABWE),ZIMBABWE,389217.930837057,389217.930837057,389217.930837057,77843.5861674114
104.0,EXPORT DEVELOPMENT BANK OF (EGYPT),EGYPT,378313.6514560733,378313.6514560733,378313.6514560733,75662.73029121466
105.0,STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),NIGERIA,367986.2765368699,367986.2765368699,367986.2765368699,73597.25530737398
106.0,FCMB GROUP NIGERIA (NIGERIA),NIGERIA,364493.8541211038,364493.8541211038,364493.8541211038,72898.77082422077
107.0,POULINA GROUP HOLDING TUNISIA (TUNISIA),TUNISIA,354989.7396963292,354989.7396963292,354989.7396963292,70997.94793926585
108.0,AMEN BANK TUNISIA (TUNISIA),TUNISIA,341578.5489559784,341578.5489559784,341578.5489559784,68315.70979119568
109.0,SEPLAT ENERGY NIGERIA (NIGERIA),NIGERIA,340513.73801666533,340513.73801666533,340513.73801666533,68102.74760333307
110.0,EAST AFRICAN BREWERIES KENYA (KENYA),KENYA,331670.28508897097,331670.28508897097,331670.28508897097,66334.0570177942
111.0,UNITED BANK FOR AFRICA NIGERIA (NIGERIA),NIGERIA,328016.96573005716,328016.96573005716,328016.96573005716,65603.39314601144
112.0,FIRST CAPITAL BANK (ZIMBABWE),ZIMBABWE,326293.5872829344,326293.5872829344,326293.5872829344,65258.717456586885
113.0,SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),EGYPT,292386.60984660196,292386.60984660196,292386.60984660196,58477.321969320394
114.0,ATTIJARI BANK TUNISIA (TUNISIA),TUNISIA,284177.13305978756,284177.13305978756,284177.13305978756,56835.42661195752
115.0,EL SEWEDY ELECTRIC (EGYPT),EGYPT,275393.77170346206,275393.77170346206,275393.77170346206,55078.754340692416
116.0,SOCIETE FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA (TUNISIA),TUNISIA,259120.75527868507,259120.75527868507,259120.75527868507,51824.15105573702
117.0,LAFARGE AFRICA NIGERIA (NIGERIA),NIGERIA,252470.2296688279,252470.2296688279,252470.2296688279,50494.045933765585
118.0,INNSCOR AFRICA (ZIMBABWE),ZIMBABWE,226548.69365601818,226548.69365601818,226548.69365601818,45309.73873120364
119.0,CUSTODIAN INVESTMENT NIGERIA (NIGERIA),NIGERIA,219908.28035913265,219908.28035913265,219908.28035913265,43981.65607182653
120.0,TSOGO SUN GAMING (SOUTH AFRICA),SOUTH AFRICA,212873.04926423976,212873.04926423976,212873.04926423976,42574.609852847956
121.0,BIAT TUNISIA (TUNISIA),TUNISIA,211947.8889160725,211947.8889160725,211947.8889160725,42389.5777832145
122.0,GCB BANK PLC GHANA (GHANA),GHANA,203949.1979621095,203949.1979621095,203949.1979621095,40789.8395924219
123.0,NIGERIAN BREWERIES (NIGERIA),NIGERIA,202692.25715080995,202692.25715080995,202692.25715080995,40538.45143016199
