Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
DIS-CHEM PHARMACIES (SOUTH AFRICA),0.6245651592186245,2016-01-12,2026-12-03,17,90,32949312.53448276,28583536.403847758,AM100-scale,120.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
ETERNA PLC NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,32387822.055882353,12403467.293093514,AM100-scale,125.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
CAP PLC NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,29716625.377647057,8079752.563598973,AM100-scale,140.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
STANBIC HOLDINGS KENYA (KENYA),0.6625635536526626,2016-01-04,2026-12-03,12,31,29307052.220588237,6353289.720308339,AM100-scale,142.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
NINETY ONE (SOUTH AFRICA),0.40299705646240297,2020-01-04,2026-12-03,11,31,29136013.67126437,21756417.807370536,AM100-scale,139.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
MAROC TELECOM MOROCCO (MOROCCO),0.6604227990366605,2016-01-04,2026-12-03,11,59,26514383.95865031,16700847.949150458,AM100-scale,132.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
UPDC PLC NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,26162528.14111765,3758766.388662109,AM100-scale,151.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
MCB GROUP LTD MAURITIUS (MAURITIUS),0.6577468557666577,2016-01-04,2026-12-02,13,31,24472832.140532546,18866022.029549357,AM100-scale,143.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
CO-OPERATIVE BANK KENYA (KENYA),0.6641691196146642,2016-01-04,2026-12-03,12,31,23319395.698235296,11389352.207683071,AM100-scale,131.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
RAUBEX (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,23313742.886781607,7077513.10291716,AM100-scale,134.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
CORONATION (NAMIBIA),0.683971099812684,2016-01-02,2026-12-03,9,31,22531610.992528733,40796647.47623992,AM100-scale,146.0,False,False,False,Excluded,excluded_collective_investment_security; coverage_below_95pct; starts_after_2016; large_data_gaps
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,22441540.20632184,12382258.516208306,AM100-scale,128.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
ABSA BANK KENYA (KENYA),0.6644367139416645,2016-01-04,2026-12-03,12,31,21949836.535588235,7849386.340497369,AM100-scale,145.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
