Date,Country,Weight
2018-10-31,MALAWI,0.007680943131675957
2018-10-31,MAURITIUS,0.002154432394871822
2018-10-31,MOROCCO,0.006886115534965602
2018-10-31,NAMIBIA,0.008071653972233988
2018-10-31,NIGER,0.02029067449631906
2018-10-31,NIGERIA,0.31047661834911994
2018-10-31,RWANDA,0.01416186094361309
2018-10-31,SENEGAL,0.04214384911052805
2018-10-31,SOUTH AFRICA,0.3999999999999999
2018-10-31,TANZANIA,0.029076945425101565
2018-10-31,UGANDA,0.009935048503736906
2018-11-30,EGYPT,0.07411422639785674
2018-11-30,KENYA,0.04542782988320887
2018-11-30,MALAWI,0.00937293230756515
2018-11-30,MAURITIUS,0.0014008677232616765
2018-11-30,MOROCCO,0.003240746645283726
2018-11-30,NAMIBIA,0.010256430898217823
2018-11-30,NIGER,0.017763898698058594
2018-11-30,NIGERIA,0.3081990318492491
2018-11-30,RWANDA,0.01356194261743296
2018-11-30,SENEGAL,0.023448349253989486
2018-11-30,SOUTH AFRICA,0.4
2018-11-30,TANZANIA,0.08240814581208473
2018-11-30,UGANDA,0.010805597913791093
2018-12-31,EGYPT,0.09665364812460764
2018-12-31,KENYA,0.035067687003163726
2018-12-31,MALAWI,0.0022341738786105505
2018-12-31,MAURITIUS,0.001839067630956259
2018-12-31,MOROCCO,0.02106784537265839
2018-12-31,NAMIBIA,0.0079974380950819
2018-12-31,NIGER,0.003299427414510044
2018-12-31,NIGERIA,0.28445433837013606
2018-12-31,RWANDA,0.004625037427145472
2018-12-31,SENEGAL,0.0417428189167794
2018-12-31,SOUTH AFRICA,0.4
2018-12-31,TANZANIA,0.09637414563874372
2018-12-31,UGANDA,0.00464437212760682
2019-01-31,EGYPT,0.06803747795689989
2019-01-31,KENYA,0.06343259731009204
2019-01-31,MALAWI,0.002603762736508782
2019-01-31,MAURITIUS,0.0015128052588754106
2019-01-31,MOROCCO,0.021995187552367245
2019-01-31,NAMIBIA,0.004517002936485554
2019-01-31,NIGER,0.003447616100586406
2019-01-31,NIGERIA,0.3030233922604782
2019-01-31,SENEGAL,0.04523196476749368
2019-01-31,SOUTH AFRICA,0.4
2019-01-31,TANZANIA,0.08408625922277627
2019-01-31,UGANDA,0.0021119338974365572
2019-02-28,EGYPT,0.09477931186673258
2019-02-28,KENYA,0.06038269007963882
2019-02-28,MALAWI,0.004628749957811091
2019-02-28,MAURITIUS,0.0019466471594343612
2019-02-28,MOROCCO,0.003055482870817983
2019-02-28,NAMIBIA,0.004542597839814188
2019-02-28,NIGER,0.0021297503577734733
2019-02-28,NIGERIA,0.3419577528830828
2019-02-28,RWANDA,0.0012925536130731052
2019-02-28,SENEGAL,0.027389571159997565
2019-02-28,SOUTH AFRICA,0.4
2019-02-28,TANZANIA,0.056564914064637394
2019-02-28,UGANDA,0.0013299781471866178
2019-03-31,EGYPT,0.14737070427615473
2019-03-31,KENYA,0.06537990715144816
2019-03-31,MALAWI,0.00908790239672555
2019-03-31,MAURITIUS,0.001954528832061309
2019-03-31,MOROCCO,0.0018540488376647063
2019-03-31,NAMIBIA,0.005668986641076017
2019-03-31,NIGER,0.0027446726869098767
2019-03-31,NIGERIA,0.28875444725121663
2019-03-31,RWANDA,0.002359767471738233
2019-03-31,SENEGAL,0.029496118724377136
2019-03-31,SOUTH AFRICA,0.39999999999999997
2019-03-31,TANZANIA,0.04532891573062767
